Date,flow,average temperature (C),precipitation,ET [kg/m^2/8day]
2014-05-27,110.0,28.65654786062521,9.907871055974075,235.8671264268748
2014-05-28,121.0,28.576055708228026,17.520989893987615,234.35567698716267
2014-05-29,155.0,28.495563555830834,21.941918869782008,232.84422754745052
2014-05-30,171.0,28.415071403433643,0.2157355633226992,231.33277810773845
2014-05-31,181.0,28.334579251036452,0.7461561702959038,229.82132866802635
2014-06-01,186.0,28.254087098639268,1.0263683898356262,228.3098792283142
2014-06-02,186.0,28.17359494624208,1.1748498335044526,226.79842978860208
2014-06-03,140.0,27.514049135942045,0.4857172683308838,233.32894919000665
2014-06-04,138.0,26.854503325642007,1.730150065082668,239.8594685914112
2014-06-05,167.0,26.19495751534197,1.3502861461193931,246.38998799281572
2014-06-06,177.0,25.535411705041938,33.62480864315145,252.9205073942203
2014-06-07,177.0,24.8758658947419,7.0202265579465575,259.4510267956249
2014-06-08,180.0,24.216320084441865,1.5355717378768416,265.98154619702945
2014-06-09,150.0,23.55677427414183,2.9490879681223143,272.512065598434
2014-06-10,118.0,22.897228463841792,26.225656666116805,279.04258499983854
2014-06-11,115.0,22.76491252181664,4.1926436204012925,275.02886636952843
2014-06-12,99.0,22.63259657979148,20.62857103578811,271.01514773921826
2014-06-13,109.0,22.500280637766323,27.06876523406885,267.00142910890816
2014-06-14,99.0,22.367964695741165,0.3104967491635868,262.98771047859805
2014-06-15,145.0,22.23564875371601,0.3647946515547994,258.97399184828794
2014-06-16,109.0,22.10333281169085,2.9251489604813665,254.9602732179778
2014-06-17,86.0,21.971016869665696,2.583512205126984,250.9465545876677
2014-06-18,110.0,21.83870092764054,0.2270755671187321,246.93283595735755
2014-06-19,150.0,21.65236928082209,4.98509951815022,253.2573781822364
2014-06-20,151.0,21.46603763400364,11.621805893329398,259.58192040711526
2014-06-21,180.0,21.279705987185185,1.7765922495695112,265.90646263199415
2014-06-22,195.0,21.093374340366733,0.6573551274916806,272.231004856873
2014-06-23,175.0,20.90704269354828,3.042626214708747,278.55554708175185
2014-06-24,199.0,20.72071104672983,0.0,284.88008930663074
2014-06-25,229.0,20.534379399911376,0.5956768555145395,291.2046315315096
2014-06-26,211.0,20.348047753092924,2.3979216746373564,297.52917375638845
2014-06-27,219.0,20.682882649961236,7.834744682478714,286.10308213389726
2014-06-28,243.0,21.01771754682954,1.872370132320424,274.67699051140613
2014-06-29,229.0,21.35255244369785,1.6149751314834184,263.250898888915
2014-06-30,236.0,21.687387340566158,0.2981866824070596,251.82480726642385
2014-07-01,223.0,22.022222237434462,0.0,240.39871564393263
2014-07-02,226.0,22.35705713430277,0.5638480246804275,228.9726240214415
2014-07-03,240.0,22.69189203117108,0.9529137298292816,217.54653239895035
2014-07-04,259.0,23.026726928039388,0.9494448506137516,206.1204407764592
2014-07-05,265.0,22.478786702824003,0.0,211.9378493845508
2014-07-06,264.0,21.93084647760862,4.774407052307694,217.7552579926424
2014-07-07,218.0,21.382906252393237,11.537342720592006,223.572666600734
2014-07-08,177.0,20.83496602717785,15.083185087311842,229.39007520882564
2014-07-09,221.0,20.287025801962464,9.733639031732569,235.20748381691723
2014-07-10,233.0,19.73908557674708,0.0,241.02489242500883
2014-07-11,234.0,19.19114535153169,0.4420094558526658,246.84230103310043
2014-07-12,242.0,18.64320512631631,2.590575143811999,252.65970964119205
2014-07-13,191.0,18.82269351109349,10.28682311964112,249.4367364311293
2014-07-14,153.0,19.00218189587068,42.01534741041676,246.21376322106656
2014-07-15,173.0,19.181670280647857,0.0388124610912379,242.9907900110038
2014-07-16,144.0,19.36115866542504,0.7204270481933036,239.7678168009411
2014-07-17,162.0,19.540647050202224,0.0342428520849905,236.54484359087837
2014-07-18,129.0,19.720135434979404,17.398255044865024,233.3218703808156
2014-07-19,152.0,19.899623819756588,27.84879158086331,230.09889717075285
2014-07-20,171.0,20.07911220453377,0.0,226.8759239606901
2014-07-21,177.0,20.45993223963851,0.6252180158985049,227.42118023991225
2014-07-22,158.0,20.840752274743245,15.32869833570224,227.9664365191344
